"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2018-12-04 16:09:09 +01:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2014,Latvia,"Syrian Arab Rep.","G / FI",34
2014,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.","G / FA",774
2014,Malta,"Syrian Arab Rep.","G / FI",305
2015,Albania,"Syrian Arab Rep.","G / FI",71
2015,Austria,"Syrian Arab Rep.","G / RA",195
2015,Austria,"Syrian Arab Rep.","G / FA",24352
2015,Belgium,"Syrian Arab Rep.","G / FI",10293
2015,Belgium,"Syrian Arab Rep.","G / JR",23
2015,Belgium,"Syrian Arab Rep.","G / RA",122
2015,Bulgaria,"Syrian Arab Rep.","G / FI",5950
2015,Bulgaria,"Syrian Arab Rep.","G / RA",33
2015,"Bosnia and Herzegovina","Syrian Arab Rep.","G / FI",5
2015,Belarus,"Syrian Arab Rep.","G / JR",3
2015,Belarus,"Syrian Arab Rep.","G / FI",103
2015,Switzerland,"Syrian Arab Rep.","G / FI",4649
2015,Switzerland,"Syrian Arab Rep.","G / FI",96
2015,"Czech Rep.","Syrian Arab Rep.","G / RA",5
2015,"Czech Rep.","Syrian Arab Rep.","G / FI",129
2015,Germany,"Syrian Arab Rep.","G / RA",3853
2015,Germany,"Syrian Arab Rep.","G / NA",158657
2015,Germany,"Syrian Arab Rep.","G / JR",
2015,Denmark,"Syrian Arab Rep.","G / FI",8608
2015,Denmark,"Syrian Arab Rep.","G / AR",115
2015,Spain,"Syrian Arab Rep.","G / FI",5724
2015,Estonia,"Syrian Arab Rep.","G / FI",9
2015,Finland,"Syrian Arab Rep.","G / FI",836
2015,Finland,"Syrian Arab Rep.","G / RA",1
2015,France,"Syrian Arab Rep.","G / FI",5124
2015,France,"Syrian Arab Rep.","G / RA",12
2015,France,"Syrian Arab Rep.","G / RA",11
2015,France,"Syrian Arab Rep.","G / AR",278
2015,"United Kingdom","Syrian Arab Rep.","G / AR",190
2015,"United Kingdom","Syrian Arab Rep.","G / RA",6
2015,"United Kingdom","Syrian Arab Rep.","G / FI",2846
2015,Greece,"Syrian Arab Rep.","G / AR",4
2015,Greece,"Syrian Arab Rep.","G / RA",177
2015,Greece,"Syrian Arab Rep.","G / FI",3316
2015,Croatia,"Syrian Arab Rep.","G / FI",24
2015,Hungary,"Syrian Arab Rep.","G / RA",64081
2015,Hungary,"Syrian Arab Rep.","G / RA",506
2015,Hungary,"Syrian Arab Rep.","G / FA",
2015,Ireland,"Syrian Arab Rep.","G / SP",2
2015,Ireland,"Syrian Arab Rep.","G / AR",
2015,Ireland,"Syrian Arab Rep.","G / RA",1
2015,Ireland,"Syrian Arab Rep.","G / FI",74
2015,Iceland,"Syrian Arab Rep.","G / FI",29
2015,Italy,"Syrian Arab Rep.","G / FI",506
2015,Liechtenstein,"Syrian Arab Rep.","G / FI",1
2015,Lithuania,"Syrian Arab Rep.","G / FI",6
2015,Luxembourg,"Syrian Arab Rep.","G / AR",10
2015,Luxembourg,"Syrian Arab Rep.","G / RA",
2015,Luxembourg,"Syrian Arab Rep.","G / FI",630
2015,Latvia,"Syrian Arab Rep.","G / FI",6
2015,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.","G / FA",997
2015,Malta,"Syrian Arab Rep.","G / AR",17
2015,Malta,"Syrian Arab Rep.","G / FI",398
2015,Montenegro,"Syrian Arab Rep.","G / FA",996
2015,Netherlands,"Syrian Arab Rep.","G / RA",54
2015,Netherlands,"Syrian Arab Rep.","G / FI",18677
2015,Norway,"Syrian Arab Rep.","G / RA",19
2015,Norway,"Syrian Arab Rep.","G / FI",10517
2015,Norway,"Syrian Arab Rep.","G / AR",265
2015,Poland,"Syrian Arab Rep.","G / FI",286
2015,Poland,"Syrian Arab Rep.","G / RA",9
2015,Portugal,"Syrian Arab Rep.","G / FI",22
2015,Romania,"Syrian Arab Rep.","G / FI",541
2015,Romania,"Syrian Arab Rep.","G / JR",
2015,Romania,"Syrian Arab Rep.","G / RA",5
2015,"Russian Federation","Syrian Arab Rep.","G / FI",337
2015,"Russian Federation","Syrian Arab Rep.","G / TA",1124
2015,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",58
2015,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",187
2015,Slovakia,"Syrian Arab Rep.","G / RA",2
2015,Slovakia,"Syrian Arab Rep.","G / FI",6
2015,Slovenia,"Syrian Arab Rep.","G / RA",1
2015,Slovenia,"Syrian Arab Rep.","G / FI",16
2015,Sweden,"Syrian Arab Rep.","G / RA",442
2015,Sweden,"Syrian Arab Rep.","G / AR",702
2015,Sweden,"Syrian Arab Rep.","G / FI",50891
2015,Ukraine,"Syrian Arab Rep.","G / JR",143
2015,Ukraine,"Syrian Arab Rep.","U / FI",27
2015,Ukraine,"Syrian Arab Rep.","G / FI",136
2016,Albania,"Syrian Arab Rep.","G / FI",127
2016,Austria,"Syrian Arab Rep.","G / FA",8642
2016,Belgium,"Syrian Arab Rep.","G / RA",154
2016,Belgium,"Syrian Arab Rep.","G / JR",42
2016,Belgium,"Syrian Arab Rep.","G / FI",2612
2016,Bulgaria,"Syrian Arab Rep.","G / RA",54
2016,Bulgaria,"Syrian Arab Rep.","G / FI",2563
2016,"Bosnia and Herzegovina","Syrian Arab Rep.","G / FI",18
2016,Belarus,"Syrian Arab Rep.","G / FI",21
2016,Belarus,"Syrian Arab Rep.","G / JR",3
2016,Switzerland,"Syrian Arab Rep.","G / FI",104
2016,Switzerland,"Syrian Arab Rep.","G / FI",2040
2016,"Czech Rep.","Syrian Arab Rep.","G / FI",67
2016,"Czech Rep.","Syrian Arab Rep.","G / RA",11
2016,Germany,"Syrian Arab Rep.","G / NA",266250
2016,Germany,"Syrian Arab Rep.","G / JR",
2016,Germany,"Syrian Arab Rep.","G / RA",2616
2016,Denmark,"Syrian Arab Rep.","G / AR",52
2016,Denmark,"Syrian Arab Rep.","G / FI",1320
2016,Spain,"Syrian Arab Rep.","G / FI",3069
2016,Estonia,"Syrian Arab Rep.","G / FI",
2016,Finland,"Syrian Arab Rep.","G / FI",600
2016,Finland,"Syrian Arab Rep.","G / RA",2
2016,France,"Syrian Arab Rep.","G / FI",6073
2016,France,"Syrian Arab Rep.","G / RA",1
2016,France,"Syrian Arab Rep.","G / AR",545
2016,France,"Syrian Arab Rep.","G / RA",10
2016,"United Kingdom","Syrian Arab Rep.","G / FI",1588
2016,"United Kingdom","Syrian Arab Rep.","G / AR",132
2016,"United Kingdom","Syrian Arab Rep.","G / RA",4
2016,Greece,"Syrian Arab Rep.","G / FI",26614
2016,Greece,"Syrian Arab Rep.","G / RA",78
2016,Greece,"Syrian Arab Rep.","G / AR",1148
2016,Croatia,"Syrian Arab Rep.","G / FI",311
2016,Croatia,"Syrian Arab Rep.","G / JR",6
2016,Hungary,"Syrian Arab Rep.","G / FI",4735
2016,Hungary,"Syrian Arab Rep.","G / RA",244
2016,Hungary,"Syrian Arab Rep.","G / FA",
2016,Ireland,"Syrian Arab Rep.","G / SP",1
2016,Ireland,"Syrian Arab Rep.","G / FI",244
2016,Ireland,"Syrian Arab Rep.","G / RA",7
2016,Ireland,"Syrian Arab Rep.","G / AR",1
2016,Iceland,"Syrian Arab Rep.","G / FI",37
2016,Italy,"Syrian Arab Rep.","G / FI",981
2016,Liechtenstein,"Syrian Arab Rep.","G / FI",5
2016,Lithuania,"Syrian Arab Rep.","G / FI",165
2016,Luxembourg,"Syrian Arab Rep.","G / RA",1
2016,Luxembourg,"Syrian Arab Rep.","G / FI",288
2016,Luxembourg,"Syrian Arab Rep.","G / AR",15
2016,Latvia,"Syrian Arab Rep.","G / FI",149
2016,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.","G / FA",192
2016,Malta,"Syrian Arab Rep.","G / FI",287
2016,Malta,"Syrian Arab Rep.","G / AR",24
2016,Montenegro,"Syrian Arab Rep.","G / FA",35
2016,Netherlands,"Syrian Arab Rep.","G / FI",2557
